REGION,TECHNOLOGY,VALUE
REGION1,PLBMSTPH3,30.0
REGION1,PLCOCHPH3,25.0
REGION1,PLCOCSPN2,40.0
REGION1,PLCOSTPH1,30.0
REGION1,PLCOSTPH3,30.0
REGION1,PLGOCVPH2,40.0
REGION1,PLHFCCPH2,30.0
REGION1,PLHFCHPH3,25.0
REGION1,PLHFGCPH3,25.0
REGION1,PLHFGCPN3,25.0
REGION1,PLHFHPFH1,20.0
REGION1,PLHFHPPH2,20.0
REGION1,PLHFSTPH2,30.0
REGION1,PLHFSTPH3,30.0
REGION1,PLHYDMPH0,80.0
REGION1,PLHYDMPH1,80.0
REGION1,PLHYDMPH2,80.0
REGION1,PLHYDMPH3,80.0
REGION1,PLHYDSPH2,80.0
REGION1,PLHYDSPH3,80.0
REGION1,PLNGCCPH2,30.0
REGION1,PLNGCHPH3,25.0
REGION1,PLNGCHPN3,25.0
REGION1,PLNGCSPN2,30.0
REGION1,PLNGFCFH1,5.0
REGION1,PLNGGCPH2,25.0
REGION1,PLNGGCPN2,25.0
REGION1,PLNGHPFH1,20.0
REGION1,PLNGHPPH2,20.0
REGION1,PLNGSTPH2,30.0
REGION1,PLNUG3PN3,60.0
REGION1,PLOCWVPH1,25.0
REGION1,PLSODIFH1,25.0
REGION1,PLSOUTPH2,25.0
REGION1,PLWIOFPN3,25.0
REGION1,PLWIONPH3,25.0
REGION1,PLWIONPN3,25.0
REGION1,PLWSCHPH2,25.0
REGION1,PLWSSTPH1,30.0
REGION1,SEBFHPFH1,20.0
REGION1,SEBMCCPH1,30.0
REGION1,SEBMCHPH3,25.0
REGION1,SEBMCSPN2,35.0
REGION1,SEBMSTPH3,30.0
REGION1,SECOCHPH3,25.0
REGION1,SECOCSPN2,40.0
REGION1,SECOSTPH1,30.0
REGION1,SECOSTPH3,30.0
REGION1,SEGOCVPH2,40.0
REGION1,SEHFCCPH2,30.0
REGION1,SEHFCHPH3,25.0
REGION1,SEHFGCPH3,25.0
REGION1,SEHFGCPN3,25.0
REGION1,SEHFHPFH1,20.0
REGION1,SEHFHPPH2,20.0
REGION1,SEHFSTPH2,30.0
REGION1,SEHFSTPH3,30.0
REGION1,SEHYDMPH0,80.0
REGION1,SEHYDMPH1,80.0
REGION1,SEHYDMPH2,80.0
REGION1,SEHYDMPH3,80.0
REGION1,SEHYDSPH2,80.0
REGION1,SEHYDSPH3,80.0
REGION1,SENGCCPH2,30.0
REGION1,SENGCHPH3,25.0
REGION1,SENGCHPN3,25.0
REGION1,SENGCSPN2,30.0
REGION1,SENGFCFH1,5.0
REGION1,SENGGCPH2,25.0
REGION1,SENGGCPN2,25.0
REGION1,SENGHPFH1,20.0
REGION1,SENGHPPH2,20.0
REGION1,SENGSTPH2,30.0
REGION1,SENUG2PH3,50.0
REGION1,SENUG3PN3,60.0
REGION1,SEOCWVPH1,25.0
REGION1,SESODIFH1,25.0
REGION1,SESOUTPH2,25.0
REGION1,SEWIOFPH3,25.0
REGION1,SEWIOFPN2,25.0
REGION1,SEWIOFPN3,25.0
REGION1,SEWIONPH3,25.0
REGION1,SEWIONPN3,25.0
REGION1,SEWSCHPH2,25.0
REGION1,SEWSSTPH1,30.0
REGION1,UKBFHPFH1,20.0
REGION1,UKBMCCPH1,30.0
REGION1,UKBMCHPH3,25.0
REGION1,UKBMCSPN2,35.0
REGION1,UKBMSTPH3,30.0
REGION1,UKCOCHPH3,25.0
REGION1,UKCOCSPN2,40.0
REGION1,UKCOSTPH1,30.0
REGION1,UKCOSTPH3,30.0
REGION1,UKGOCVPH2,40.0
REGION1,UKHFCCPH2,30.0
REGION1,UKHFCHPH3,25.0
REGION1,UKHFGCPH3,25.0
REGION1,UKHFGCPN3,25.0
REGION1,UKHFHPFH1,20.0
REGION1,UKHFHPPH2,20.0
REGION1,UKHFSTPH2,30.0
REGION1,UKHFSTPH3,30.0
REGION1,UKHYDMPH0,80.0
REGION1,UKHYDMPH1,80.0
REGION1,UKHYDMPH2,80.0
REGION1,UKHYDMPH3,80.0
REGION1,UKHYDSPH2,80.0
REGION1,UKHYDSPH3,80.0
REGION1,UKNGCCPH2,30.0
REGION1,UKNGCHPH3,25.0
REGION1,UKNGCHPN3,25.0
REGION1,UKNGCSPN2,30.0
REGION1,UKNGFCFH1,5.0
REGION1,UKNGGCPH2,25.0
REGION1,UKNGGCPN2,25.0
REGION1,UKNGHPFH1,20.0
REGION1,UKNGHPPH2,20.0
REGION1,UKNGSTPH2,30.0
REGION1,UKNUG2PH3,50.0
REGION1,UKNUG3PN3,60.0
REGION1,UKOCWVPH1,25.0
REGION1,UKSODIFH1,25.0
REGION1,UKSOUTPH2,25.0
REGION1,UKWIOFPH3,25.0
REGION1,UKWIOFPN2,25.0
REGION1,UKWIOFPN3,25.0
REGION1,UKWIONPH3,25.0
REGION1,UKWIONPN3,25.0
REGION1,UKWSCHPH2,25.0
REGION1,UKWSSTPH1,30.0
