REGION,TECHNOLOGY,VALUE
REGION1,PLHYDSPH3,31.536
REGION1,PLNGCCPH2,31.536
REGION1,PLNGCHPH3,31.536
REGION1,PLNGCHPN3,31.536
REGION1,PLNGCSPN2,31.536
REGION1,PLNGFCFH1,31.536
REGION1,PLNGGCPH2,31.536
REGION1,PLNGGCPN2,31.536
REGION1,PLNGHPFH1,31.536
REGION1,PLNGHPPH2,31.536
REGION1,PLNGSTPH2,31.536
REGION1,PLNUG3PN3,31.536
REGION1,PLOCWVPH1,31.536
REGION1,PLSODIFH1,31.536
REGION1,PLSOUTPH2,31.536
REGION1,PLWIOFPN3,31.536
REGION1,PLWIONPH3,31.536
REGION1,PLWIONPN3,31.536
REGION1,PLWSCHPH2,31.536
REGION1,PLWSSTPH1,31.536
REGION1,SEBFHPFH1,31.536
REGION1,SEBMCCPH1,31.536
REGION1,SEBMCHPH3,31.536
REGION1,SEBMCSPN2,31.536
REGION1,SEBMSTPH3,31.536
REGION1,SECOCHPH3,31.536
REGION1,SECOCSPN2,31.536
REGION1,SECOSTPH1,31.536
REGION1,SECOSTPH3,31.536
REGION1,SEGOCVPH2,31.536
REGION1,SEHFCCPH2,31.536
REGION1,SEHFCHPH3,31.536
REGION1,SEHFGCPH3,31.536
REGION1,SEHFGCPN3,31.536
REGION1,SEHFHPFH1,31.536
REGION1,SEHFHPPH2,31.536
REGION1,SEHFSTPH2,31.536
REGION1,SEHFSTPH3,31.536
REGION1,SEHYDMPH0,31.536
REGION1,SEHYDMPH1,31.536
REGION1,SEHYDMPH2,31.536
REGION1,SEHYDMPH3,31.536
REGION1,SEHYDSPH2,31.536
REGION1,SEHYDSPH3,31.536
REGION1,SENGCCPH2,31.536
REGION1,SENGCHPH3,31.536
REGION1,SENGCHPN3,31.536
REGION1,SENGCSPN2,31.536
REGION1,SENGFCFH1,31.536
REGION1,SENGGCPH2,31.536
REGION1,SENGGCPN2,31.536
REGION1,SENGHPFH1,31.536
REGION1,SENGHPPH2,31.536
REGION1,SENGSTPH2,31.536
REGION1,SENUG2PH3,31.536
REGION1,SENUG3PN3,31.536
REGION1,SEOCWVPH1,31.536
REGION1,SESODIFH1,31.536
REGION1,SESOUTPH2,31.536
REGION1,SEWIOFPH3,31.536
REGION1,SEWIOFPN2,31.536
REGION1,SEWIOFPN3,31.536
REGION1,SEWIONPH3,31.536
REGION1,SEWIONPN3,31.536
REGION1,SEWSCHPH2,31.536
REGION1,SEWSSTPH1,31.536
REGION1,UKBFHPFH1,31.536
REGION1,UKBMCCPH1,31.536
REGION1,UKBMCHPH3,31.536
REGION1,UKBMCSPN2,31.536
REGION1,UKBMSTPH3,31.536
REGION1,UKCOCHPH3,31.536
REGION1,UKCOCSPN2,31.536
REGION1,UKCOSTPH1,31.536
REGION1,UKCOSTPH3,31.536
REGION1,UKGOCVPH2,31.536
REGION1,UKHFCCPH2,31.536
REGION1,UKHFCHPH3,31.536
REGION1,UKHFGCPH3,31.536
REGION1,UKHFGCPN3,31.536
REGION1,UKHFHPFH1,31.536
REGION1,UKHFHPPH2,31.536
REGION1,UKHFSTPH2,31.536
REGION1,UKHFSTPH3,31.536
REGION1,UKHYDMPH0,31.536
REGION1,UKHYDMPH1,31.536
REGION1,UKHYDMPH2,31.536
REGION1,UKHYDMPH3,31.536
REGION1,UKHYDSPH2,31.536
REGION1,UKHYDSPH3,31.536
REGION1,UKNGCCPH2,31.536
REGION1,UKNGCHPH3,31.536
REGION1,UKNGCHPN3,31.536
REGION1,UKNGCSPN2,31.536
REGION1,UKNGFCFH1,31.536
